k,q,mode,run,iterations,patterns,sequences_per_pattern,sequence_length,bases,elapsed_ns,ns_per_base,checksum
6,1,all,2,1,256,512,150,19660800,22843583,1.161884715,4791551
6,3,all,2,2,256,512,150,39321600,20106375,0.511331558,9583102
6,6,all,2,1,256,512,150,19660800,29944542,1.523058167,4791551
6,4,all,2,3,256,512,150,58982400,30147458,0.511126336,14374653
6,2,all,2,2,256,512,150,39321600,32673542,0.830931142,9583102
6,5,all,2,2,256,512,150,39321600,29630750,0.753548940,9583102
6,4,all,3,3,256,512,150,58982400,29900500,0.506939358,14374653
6,2,all,3,2,256,512,150,39321600,31654875,0.805025101,9583102
6,3,all,3,2,256,512,150,39321600,20198458,0.513673350,9583102
6,1,all,3,1,256,512,150,19660800,22854875,1.162459056,4791551
6,5,all,3,2,256,512,150,39321600,29574333,0.752114182,9583102
6,6,all,3,1,256,512,150,19660800,29912916,1.521449585,4791551
6,1,all,4,1,256,512,150,19660800,22752083,1.157230784,4791551
6,2,all,4,2,256,512,150,39321600,31675500,0.805549622,9583102
6,5,all,4,2,256,512,150,39321600,29521625,0.750773748,9583102
6,6,all,4,1,256,512,150,19660800,29914208,1.521515299,4791551
6,3,all,4,2,256,512,150,39321600,20091584,0.510955404,9583102
6,4,all,4,3,256,512,150,58982400,29786208,0.505001628,14374653
6,3,all,5,2,256,512,150,39321600,19979041,0.508093287,9583102
6,6,all,5,1,256,512,150,19660800,29873167,1.519427846,4791551
6,1,all,5,1,256,512,150,19660800,23076083,1.173710276,4791551
6,2,all,5,2,256,512,150,39321600,32281750,0.820967356,9583102
6,4,all,5,3,256,512,150,58982400,30036625,0.509247250,14374653
6,5,all,5,2,256,512,150,39321600,29634958,0.753655955,9583102
6,2,all,6,2,256,512,150,39321600,32277916,0.820869853,9583102
6,3,all,6,2,256,512,150,39321600,20212375,0.514027278,9583102
6,6,all,6,1,256,512,150,19660800,30225500,1.537348429,4791551
6,4,all,6,3,256,512,150,58982400,30163375,0.511396196,14374653
6,5,all,6,2,256,512,150,39321600,29664208,0.754399821,9583102
6,1,all,6,1,256,512,150,19660800,22843917,1.161901703,4791551
6,6,all,7,1,256,512,150,19660800,29925458,1.522087504,4791551
6,2,all,7,2,256,512,150,39321600,31868792,0.810465291,9583102
6,5,all,7,2,256,512,150,39321600,29543167,0.751321589,9583102
6,3,all,7,2,256,512,150,39321600,20008791,0.508849869,9583102
6,1,all,7,1,256,512,150,19660800,22826917,1.161037038,4791551
6,4,all,7,3,256,512,150,58982400,29936667,0.507552541,14374653
