k,patterns,mode,algorithm,runs,median_build_ms_per_matcher,median_search_ns_per_base,median_reference_ns_per_base,mean_reference_ns_per_base,stddev_reference_ns_per_base,min_reference_ns_per_base,max_reference_ns_per_base,slower_than_best_pct
8,10000,all,aho_corasick,5,8.269084,6.414437171,6.499461581,6.594961728,0.194563562,6.402757614,6.827872184,0.0000
8,10000,all,hash,5,0.109666,7.857785534,7.859140952,7.844717977,0.048774584,7.795696909,7.910710009,20.9199
8,10000,first,aho_corasick,5,8.198541,0.512411895,0.600927968,0.612374691,0.023784032,0.590223820,0.646779536,33.9642
8,10000,first,hash,5,0.061583,0.447777854,0.448573693,0.449606353,0.008333588,0.442917864,0.463595743,0.0000
9,10000,all,aho_corasick,5,11.308917,5.510235230,5.628126664,5.653586861,0.239941545,5.331154758,5.905907768,19.0285
9,10000,all,hash,5,0.108792,4.727073466,4.728385543,4.737298025,0.034616689,4.705842668,4.796464987,0.0000
10,1,all,aho_corasick,5,0.009014,0.608620437,0.608711213,0.614975590,0.014816835,0.605273957,0.641203196,108.8397
10,1,all,bndmq,5,0.000344,0.291470612,0.291472871,0.298745686,0.016185525,0.288954641,0.327385126,0.0000
10,1,all,hash,5,0.000369,1.716591946,1.716595989,1.777085893,0.122026398,1.710305684,1.993190598,488.9385
10,1,first,aho_corasick,5,0.008911,0.391616123,0.391705695,0.393871913,0.004542434,0.391273101,0.401930929,60.4509
10,1,first,bndmq,5,0.000275,0.244125412,0.244128048,0.246673566,0.007046071,0.241461691,0.258694140,0.0000
10,1,first,hash,5,0.000240,1.324904572,1.324908341,1.325758449,0.002390567,1.324141451,1.329960852,442.7104
10,2,all,aho_corasick,5,0.011240,4.381082971,4.381199187,4.383024190,0.027434105,4.354185330,4.419870445,728.9454
