k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
128,32,all,0,hash,0.000000,
128,32,first,0,hash,0.000000,
128,64,all,0,hash,0.000000,
128,64,first,0,hash,0.000000,
128,128,all,0,hash,0.000000,
128,128,first,0,hash,0.000000,
128,256,all,0,hash,0.000000,
128,256,first,0,hash,0.000000,
128,1000,all,0,hash,0.000000,
128,1000,first,0,hash,0.000000,
128,10000,all,0,hash,0.000000,
128,10000,first,0,hash,0.000000,
128,100000,all,0,hash,0.000000,
128,100000,first,0,hash,0.000000,
128,1000000,all,0,hash,0.000000,
128,1000000,first,0,hash,0.000000,
